location_id,x_coord,y_coord,max_size,max_weight,is_shelf
packing_station,0,0,0,0,False
A01-S1,5,1,2.1,110,True
A01-S2,5,2,1.19,189.3,True
A01-S3,5,3,2.34,370.7,True
A01-S4,5,4,2.73,134.8,True
A01-S5,5,5,1.55,111.9,True
A01-S6,5,6,1.05,302.1,True
A01-S7,5,7,0.57,179.5,True
A01-S8,5,8,2.12,318,True
A01-S9,5,9,1.05,335.7,True
A01-S10,5,10,2.52,102.6,True
A01-S11,5,11,2.51,379.3,True
A01-S12,5,12,1.35,162.2,True
A02-S1,10,1,2.89,234.6,True
A02-S2,10,2,0.73,138.7,True
A02-S3,10,3,2.62,341.5,True
A02-S4,10,4,2.52,391.9,True
A02-S5,10,5,1.84,489.2,True
A02-S6,10,6,1.45,320.8,True
A02-S7,10,7,2.57,347.4,True
A02-S8,10,8,2.65,330.9,True
A02-S9,10,9,2.26,118.3,True
A02-S10,10,10,1.07,215.8,True
A02-S11,10,11,0.7,193.1,True
A02-S12,10,12,0.75,211.2,True
A03-S1,15,1,2.09,245.9,True
A03-S2,15,2,1.43,183.8,True
A03-S3,15,3,1.17,474.7,True
A03-S4,15,4,2.12,343.7,True
A03-S5,15,5,0.93,391.7,True
A03-S6,15,6,0.91,251.8,True
A03-S7,15,7,2.97,356,True
A03-S8,15,8,1.89,373.8,True
A03-S9,15,9,2.61,410.4,True
A03-S10,15,10,1.07,112.8,True
A03-S11,15,11,1.29,207.1,True
A03-S12,15,12,1.03,477.2,True
A04-S1,20,1,2.69,225.9,True
A04-S2,20,2,2.14,258.3,True
A04-S3,20,3,2.79,283.5,True
A04-S4,20,4,1.16,198.7,True
A04-S5,20,5,1.9,205.1,True
A04-S6,20,6,1.96,459.1,True
A04-S7,20,7,1.5,187.7,True
A04-S8,20,8,2.99,303.8,True
A04-S9,20,9,0.73,118.8,True
A04-S10,20,10,0.77,351,True
A04-S11,20,11,2.48,268.9,True
A04-S12,20,12,0.66,252.6,True
A05-S1,25,1,2.99,311.6,True
A05-S2,25,2,2.93,444.3,True
A05-S3,25,3,0.53,388.3,True
A05-S4,25,4,2.2,314.8,True
A05-S5,25,5,1.17,356.4,True
A05-S6,25,6,0.78,273.9,True
A05-S7,25,7,1.63,481.5,True
A05-S8,25,8,2.69,205.4,True
A05-S9,25,9,1.75,171.5,True
A05-S10,25,10,2.78,448.2,True
A05-S11,25,11,1.25,355.6,True
A05-S12,25,12,2.02,161.1,True
A06-S1,30,1,2.41,315.8,True
A06-S2,30,2,2.45,312.1,True
A06-S3,30,3,0.5,229.7,True
A06-S4,30,4,0.55,471.6,True
A06-S5,30,5,2.7,432.7,True
A06-S6,30,6,1.27,123.2,True
A06-S7,30,7,2.7,478.8,True
A06-S8,30,8,0.71,294.4,True
A06-S9,30,9,0.67,404.2,True
A06-S10,30,10,2.41,151.4,True
A06-S11,30,11,1.69,319.9,True
A06-S12,30,12,1.16,449,True
A07-S1,35,1,1.56,184.7,True
A07-S2,35,2,1.85,392,True
A07-S3,35,3,1,224.7,True
A07-S4,35,4,2.99,360,True
A07-S5,35,5,1.6,307,True
A07-S6,35,6,0.8,189.9,True
A07-S7,35,7,1.35,335.3,True
A07-S8,35,8,1.08,188.1,True
A07-S9,35,9,0.68,352.4,True
A07-S10,35,10,1.07,462.2,True
A07-S11,35,11,2.65,128.3,True
A07-S12,35,12,1.1,367.6,True
A08-S1,40,1,1.04,152.9,True
A08-S2,40,2,2.84,328.4,True
A08-S3,40,3,1.68,413.8,True
A08-S4,40,4,2.52,176.2,True
A08-S5,40,5,0.74,272.4,True
A08-S6,40,6,1.56,286.8,True
A08-S7,40,7,2.32,369.3,True
A08-S8,40,8,2.96,139.4,True
A08-S9,40,9,1.51,235.7,True
A08-S10,40,10,2.65,199.5,True
A08-S11,40,11,0.98,279.4,True
A08-S12,40,12,1.55,211.4,True
A09-S1,45,1,1.12,469.3,True
A09-S2,45,2,1.61,444.5,True
A09-S3,45,3,1.88,120.2,True
A09-S4,45,4,3,434.4,True
A09-S5,45,5,2.92,470.5,True
A09-S6,45,6,2.62,166.5,True
A09-S7,45,7,1.71,185.5,True
A09-S8,45,8,1.5,123.5,True
A09-S9,45,9,1.45,494.1,True
A09-S10,45,10,1.16,413.6,True
A09-S11,45,11,1.64,269.2,True
A09-S12,45,12,2.89,498.2,True
A10-S1,50,1,1.89,387.4,True
A10-S2,50,2,0.89,218.7,True
A10-S3,50,3,2.92,331.7,True
A10-S4,50,4,1.86,399.2,True
A10-S5,50,5,0.64,333.7,True
A10-S6,50,6,1.76,441.1,True
A10-S7,50,7,0.89,484.3,True
A10-S8,50,8,0.7,174.3,True
A10-S9,50,9,1.99,370.1,True
A10-S10,50,10,1.09,148,True
A10-S11,50,11,2.73,198.5,True
A10-S12,50,12,1.99,347.8,True
A11-S1,55,1,1.55,333.5,True
A11-S2,55,2,1.81,473.9,True
A11-S3,55,3,1.01,386.5,True
A11-S4,55,4,1.1,258.3,True
A11-S5,55,5,2.18,220,True
A11-S6,55,6,1.29,400.7,True
A11-S7,55,7,0.68,283.3,True
A11-S8,55,8,3,498.4,True
A11-S9,55,9,0.68,185.3,True
A11-S10,55,10,1.16,473.3,True
A11-S11,55,11,2.7,451.7,True
A11-S12,55,12,1.42,163.1,True
A12-S1,60,1,2.58,381.4,True
A12-S2,60,2,2.03,494.9,True
A12-S3,60,3,2.13,103.1,True
A12-S4,60,4,2.54,219.8,True
A12-S5,60,5,2.16,475.6,True
A12-S6,60,6,0.84,146.2,True
A12-S7,60,7,0.77,321.3,True
A12-S8,60,8,1.18,341.9,True
A12-S9,60,9,2.29,181.4,True
A12-S10,60,10,2.09,205.6,True
A12-S11,60,11,1.72,462.1,True
A12-S12,60,12,2.62,136.9,True
A13-S1,65,1,1.56,210.7,True
A13-S2,65,2,0.51,408.4,True
A13-S3,65,3,2.09,204.8,True
A13-S4,65,4,2.35,320.7,True
A13-S5,65,5,1.57,103.9,True
A13-S6,65,6,0.69,453.2,True
A13-S7,65,7,2.76,318.2,True
A13-S8,65,8,2.59,333,True
A13-S9,65,9,0.87,151,True
A13-S10,65,10,1.27,459.6,True
A13-S11,65,11,2.49,444.3,True
A13-S12,65,12,2.75,184,True
A14-S1,70,1,1.12,141.1,True
A14-S2,70,2,2.45,453.7,True
A14-S3,70,3,1.52,348.3,True
A14-S4,70,4,0.89,472,True
A14-S5,70,5,2.66,490.5,True
A14-S6,70,6,2.53,452.6,True
A14-S7,70,7,0.56,394.6,True
A14-S8,70,8,1.33,472.3,True
A14-S9,70,9,2.51,445.6,True
A14-S10,70,10,2.53,206.7,True
A14-S11,70,11,2.47,143.2,True
A14-S12,70,12,2.68,443.4,True
A15-S1,75,1,1.06,426.6,True
A15-S2,75,2,1.65,222.1,True
A15-S3,75,3,2.49,191,True
A15-S4,75,4,0.56,177.3,True
A15-S5,75,5,1.32,445.7,True
A15-S6,75,6,2.92,211.6,True
A15-S7,75,7,2.1,259.9,True
A15-S8,75,8,2.95,314.5,True
A15-S9,75,9,2.85,146.1,True
A15-S10,75,10,2.93,171.4,True
A15-S11,75,11,2.91,206.2,True
A15-S12,75,12,0.77,273.8,True
A16-S1,80,1,2.32,225.5,True
A16-S2,80,2,2.02,304.6,True
A16-S3,80,3,1.46,330.6,True
A16-S4,80,4,1.14,383.5,True
A16-S5,80,5,0.5,470.2,True
A16-S6,80,6,1.85,387.8,True
A16-S7,80,7,2.35,368.3,True
A16-S8,80,8,1.41,128,True
A16-S9,80,9,2.16,232.1,True
A16-S10,80,10,1.28,439.2,True
A16-S11,80,11,2.3,220.1,True
A16-S12,80,12,1.27,263.4,True
A17-S1,85,1,1.51,218.3,True
A17-S2,85,2,0.82,268.2,True
A17-S3,85,3,2.85,370.9,True
A17-S4,85,4,2.76,346.2,True
A17-S5,85,5,1.25,319.2,True
A17-S6,85,6,0.5,214.8,True
A17-S7,85,7,1.57,332,True
A17-S8,85,8,2.14,286,True
A17-S9,85,9,1.61,185.5,True
A17-S10,85,10,1.68,460.5,True
A17-S11,85,11,2.49,167.9,True
A17-S12,85,12,0.71,306.2,True
A18-S1,90,1,2.08,234.1,True
A18-S2,90,2,2.55,400.5,True
A18-S3,90,3,2.18,189.9,True
A18-S4,90,4,1,109.8,True
A18-S5,90,5,1.11,290.1,True
A18-S6,90,6,2.62,129.1,True
A18-S7,90,7,1.54,351.9,True
A18-S8,90,8,0.99,378.5,True
A18-S9,90,9,1.74,197.6,True
A18-S10,90,10,2.14,102.2,True
A18-S11,90,11,2.38,408,True
A18-S12,90,12,0.77,270.1,True
A19-S1,95,1,0.94,483.2,True
A19-S2,95,2,1.79,120.1,True
A19-S3,95,3,1.12,439.3,True
A19-S4,95,4,1.64,420.6,True
A19-S5,95,5,2.17,495.2,True
A19-S6,95,6,1.99,480,True
A19-S7,95,7,2.73,345.1,True
A19-S8,95,8,2.3,301.9,True
A19-S9,95,9,2.58,319.1,True
A19-S10,95,10,2.74,397.5,True
A19-S11,95,11,1.69,203.7,True
A19-S12,95,12,1.12,355.1,True
